session_length	raw_freq	itm_freq	offset
0	12691504	12689612	-1892
1	5903700	5904006	306
2	3727190	3726732	-458
3	2724295	2724070	-225
4	2150565	2150199	-366
5	1778092	1777756	-336
6	1521217	1520988	-229
7	1335348	1335541	193
8	1189953	1189788	-165
9	1076233	1076139	-94
10	978000	977925	-75
11	898659	898576	-83
12	827995	827989	-6
13	767438	767345	-93
14	716913	716796	-117
15	670194	670101	-93
16	632944	632867	-77
17	598744	598665	-79
18	566181	566156	-25
19	541077	541059	-18
20	516394	516323	-71
21	492237	492148	-89
22	472710	472745	35
23	453261	453252	-9
24	437083	436992	-91
25	423138	423089	-49
26	406281	406224	-57
27	392228	392140	-88
28	379797	379723	-74
29	287447	287506	59
30	249066	249036	-30
31	223030	223007	-23
32	204088	204076	-12
33	188504	188433	-71
34	174409	174383	-26
35	163527	163483	-44
36	152480	152461	-19
37	143370	143432	62
38	133797	133855	58
39	126957	126850	-107
40	119169	119020	-149
41	112376	112568	192
42	106955	106875	-80
43	100512	100494	-18
44	95606	95638	32
45	91284	91246	-38
46	84764	84814	50
47	80822	80810	-12
48	76897	76874	-23
49	72287	72315	28
50	69389	69419	30
51	65594	65552	-42
52	61874	61824	-50
53	58416	58384	-32
54	55053	55069	16
55	53492	53465	-27
56	49262	49259	-3
57	47192	47149	-43
58	45074	44989	-85
59	42098	42231	133
60	40786	40748	-38
61	38119	38135	16
62	36378	36298	-80
63	34546	34622	76
64	33354	33376	22
65	31470	31482	12
66	30206	30207	1
67	28949	28922	-27
68	27530	27475	-55
69	26179	26203	24
70	25811	25869	58
71	24511	24453	-58
72	23209	23216	7
73	22204	22208	4
74	21672	21617	-55
75	20771	20741	-30
76	19745	19716	-29
77	18861	18944	83
78	18022	17985	-37
79	17217	17174	-43
80	16288	16338	50
81	16182	16045	-137
82	14777	14918	141
83	14786	14710	-76
84	14238	14414	176
85	13543	13469	-74
86	12882	12858	-24
87	12588	12588	0
88	12204	12154	-50
89	11700	11794	94
90	11068	10936	-132
