session_length	raw_freq	itm_freq	offset
0	692616	692540	-76
1	321888	321857	-31
2	205389	205399	10
3	150268	150259	-9
4	119199	119193	-6
5	98459	98447	-12
6	84354	84344	-10
7	73095	73089	-6
8	65749	65755	6
9	59086	59084	-2
10	54124	54116	-8
11	49980	49978	-2
12	45819	45814	-5
13	43206	43206	0
14	40441	40436	-5
15	37042	37048	6
16	35650	35646	-4
17	33708	33699	-9
18	31839	31822	-17
19	30494	30493	-1
20	29254	29247	-7
21	27803	27795	-8
22	26764	26750	-14
23	25501	25534	33
24	24691	24701	10
25	24432	24431	-1
26	22998	23001	3
27	22029	22029	0
28	21563	21555	-8
29	16352	16354	2
30	14569	14566	-3
31	12911	12911	0
32	11901	11907	6
33	10783	10775	-8
34	9917	9913	-4
35	9394	9387	-7
36	8794	8785	-9
37	8051	8063	12
38	7667	7675	8
39	7157	7154	-3
40	6853	6852	-1
41	6429	6432	3
42	6151	6147	-4
43	5596	5597	1
44	5496	5500	4
45	5236	5233	-3
46	4754	4757	3
47	4659	4653	-6
48	4362	4365	3
49	4208	4207	-1
50	4012	4006	-6
51	3672	3675	3
52	3474	3473	-1
53	3305	3310	5
54	3047	3047	0
55	3041	3024	-17
56	2641	2653	12
57	2728	2731	3
58	2514	2516	2
59	2391	2390	-1
60	2259	2248	-11
61	2028	2033	5
62	2110	2109	-1
63	1623	1613	-10
64	1776	1774	-2
65	1834	1828	-6
66	1619	1635	16
67	1485	1485	0
68	1541	1545	4
69	1482	1482	0
70	1505	1506	1
71	1395	1395	0
72	1175	1179	4
73	1220	1216	-4
74	1222	1217	-5
75	1120	1123	3
76	1059	1061	2
77	1052	1047	-5
78	917	924	7
79	1037	1036	-1
80	954	957	3
81	846	845	-1
82	855	857	2
83	772	766	-6
84	779	789	10
85	760	757	-3
86	717	717	0
87	718	710	-8
88	632	628	-4
89	653	654	1
90	609	618	9
91	612	610	-2
92	619	616	-3
93	555	559	4
94	528	524	-4
95	516	511	-5
96	441	441	0
97	491	491	0
98	441	441	0
99	448	455	7
100	451	443	-8
101	421	327	-94
102	198	296	98
103	415	413	-2
104	373	377	4
105	358	358	0
106	339	340	1
107	332	331	-1
108	322	317	-5
109	327	334	7
110	301	299	-2
111	241	241	0
112	305	307	2
113	285	252	-33
114	302	218	-84
115	261	196	-65
116	243	189	-54
117	41	191	150
118	252	209	-43
119	250	177	-73
120	-64	131	195
121	257	252	-5
122	194	171	-23
123	138	171	33
124	179	180	1
125	201	198	-3
126	160	163	3
127	189	188	-1
128	177	180	3
129	162	162	0
130	207	204	-3
131	188	191	3
132	187	186	-1
133	161	161	0
134	159	154	-5
135	162	149	-13
136	119	132	13
137	185	182	-3
138	144	145	1
139	156	157	1
140	137	138	1
141	132	122	-10
142	127	140	13
143	145	133	-12
144	115	126	11
145	143	143	0
146	116	116	0
147	104	101	-3
148	75	74	-1
149	85	86	1
150	104	103	-1
151	82	82	0
152	80	80	0
153	81	84	3
154	80	77	-3
155	77	79	2
156	82	77	-5
157	66	69	3
158	75	77	2
159	64	62	-2
160	67	68	1
161	72	68	-4
162	62	67	5
163	78	76	-2
164	40	43	3
165	88	87	-1
166	64	63	-1
167	71	67	-4
168	45	49	4
169	40	38	-2
170	52	52	0
171	48	45	-3
172	48	50	2
173	55	59	4
174	53	53	0
175	42	44	2
176	45	44	-1
177	38	39	1
178	34	36	2
179	42	43	1
180	34	36	2
181	48	48	0
182	31	33	2
183	47	44	-3
184	40	44	4
185	41	40	-1
186	29	30	1
187	39	38	-1
188	41	42	1
189	37	37	0
190	29	26	-3
191	44	44	0
192	36	33	-3
193	37	36	-1
194	36	34	-2
195	21	27	6
196	24	22	-2
197	32	36	4
198	29	28	-1
199	24	23	-1
200	18	20	2
201	37	38	1
202	25	26	1
203	28	28	0
204	33	28	-5
205	25	25	0
206	19	22	3
207	20	21	1
208	18	20	2
209	25	24	-1
210	17	16	-1
211	23	23	0
212	25	23	-2
213	9	12	3
214	18	18	0
215	26	25	-1
216	19	21	2
217	19	16	-3
218	9	11	2
219	28	27	-1
220	12	11	-1
221	11	13	2
222	16	18	2
223	21	19	-2
224	23	21	-2
225	17	18	1
226	13	14	1
227	18	18	0
228	17	16	-1
229	17	15	-2
230	22	20	-2
231	13	15	2
232	20	21	1
233	8	10	2
234	14	16	2
235	15	14	-1
236	24	21	-3
237	12	12	0
238	9	9	0
239	11	8	-3
240	7	5	-2
241	6	9	3
242	8	7	-1
243	12	12	0
244	11	14	3
245	21	19	-2
246	3	4	1
247	12	11	-1
248	14	15	1
249	8	8	0
250	6	9	3
251	13	11	-2
252	3	2	-1
253	4	6	2
254	10	10	0
255	10	11	1
256	11	9	-2
257	12	9	-3
258	11	10	-1
259	4	7	3
260	8	7	-1
261	8	7	-1
262	6	8	2
263	7	9	2
264	11	11	0
265	9	8	-1
266	9	8	-1
267	0	1	1
268	9	8	-1
269	2	4	2
270	12	8	-4
271	6	6	0
272	6	7	1
273	8	6	-2
274	0	5	5
275	8	7	-1
276	9	10	1
277	6	5	-1
278	7	8	1
279	6	6	0
280	9	8	-1
281	7	8	1
282	1	2	1
283	7	3	-4
284	1	5	4
285	13	12	-1
286	3	3	0
287	3	2	-1
288	2	2	0
289	8	7	-1
290	0	2	2
291	6	4	-2
292	3	5	2
293	11	12	1
294	6	3	-3
295	2	2	0
296	-2	1	3
297	4	4	0
298	3	2	-1
299	-1	1	2
300	8	8	0
301	3	1	-2
302	11	10	-1
303	3	4	1
304	3	2	-1
305	4	4	0
306	5	6	1
307	0	2	2
308	4	2	-2
309	5	4	-1
310	3	2	-1
311	-1	2	3
312	5	6	1
313	3	3	0
314	3	3	0
315	2	1	-1
316	3	3	0
317	1	1	0
318	4	3	-1
319	3	3	0
320	3	4	1
321	8	5	-3
322	-2	1	3
323	1	0	-1
324	-2	0	2
325	3	3	0
326	4	4	0
327	4	4	0
328	5	3	-2
329	0	0	0
330	1	2	1
331	2	0	-2
332	2	3	1
333	3	2	-1
334	0	0	0
335	3	3	0
336	-1	0	1
337	0	1	1
338	6	5	-1
339	4	3	-1
340	0	2	2
341	4	1	-3
342	2	2	0
343	-2	0	2
344	2	0	-2
345	5	4	-1
346	1	0	-1
347	-3	0	3
348	-1	0	1
349	2	3	1
350	0	0	0
351	1	1	0
352	3	3	0
353	4	3	-1
354	-1	0	1
355	2	2	0
356	6	4	-2
357	4	4	0
358	2	1	-1
359	3	1	-2
360	1	1	0
361	-1	1	2
362	-1	0	1
363	1	0	-1
364	2	2	0
365	4	4	0
366	0	2	2
367	3	2	-1
368	2	3	1
369	1	1	0
370	4	3	-1
371	3	4	1
372	2	2	0
373	1	0	-1
374	0	1	1
375	3	2	-1
376	0	1	1
377	1	1	0
378	2	1	-1
379	0	1	1
380	-1	0	1
381	0	0	0
382	2	1	-1
383	0	1	1
384	2	2	0
385	1	0	-1
386	0	0	0
387	3	1	-2
388	-2	0	2
